"list_id","child_id","wishes","submitted_date"
182,465,"{""colors"":[""Red"",""Orange"",""Green"",""White""],""first_choice"":""Teddy bears"",""second_choice"":""Building sets""}",2024-06-22 00:00:00.000
183,944,"{""colors"":[""Yellow"",""Blue"",""Brown""],""first_choice"":""Stuffed animals"",""second_choice"":""Jigsaw puzzles""}",2024-11-10 00:00:00.000
184,657,"{""colors"":[""White"",""Blue"",""Green""],""first_choice"":""Dollhouses"",""second_choice"":""Building sets""}",2024-08-04 00:00:00.000
185,58,"{""colors"":[""Blue"",""Brown"",""Brown""],""first_choice"":""Dollhouses"",""second_choice"":""Action figures""}",2024-01-18 00:00:00.000
186,921,"{""colors"":[""Black"",""Green""],""first_choice"":""Rubiks cubes"",""second_choice"":""Board games""}",2024-10-14 00:00:00.000
187,358,"{""colors"":[""Red"",""Brown"",""Yellow""],""first_choice"":""Building sets"",""second_choice"":""Jigsaw puzzles""}",2024-07-03 00:00:00.000
188,354,"{""colors"":[""Blue"",""Pink""],""first_choice"":""Barbie dolls"",""second_choice"":""LEGO blocks""}",2024-10-22 00:00:00.000
189,584,"{""colors"":[""Brown"",""Brown""],""first_choice"":""Toy trains"",""second_choice"":""Rubiks cubes""}",2024-08-27 00:00:00.000
190,100,"{""colors"":[""White"",""Orange"",""Yellow"",""Black"",""Pink""],""first_choice"":""Teddy bears"",""second_choice"":""Stuffed animals""}",2024-09-05 00:00:00.000
191,278,"{""colors"":[""Brown"",""Red""],""first_choice"":""Remote control cars"",""second_choice"":""Building blocks""}",2024-04-13 00:00:00.000
192,606,"{""colors"":[""Brown""],""first_choice"":""Building blocks"",""second_choice"":""Building blocks""}",2024-11-25 00:00:00.000
193,555,"{""colors"":[""Yellow"",""Yellow"",""Red"",""Purple""],""first_choice"":""Jump ropes"",""second_choice"":""Play-Doh""}",2024-11-03 00:00:00.000
194,262,"{""colors"":[""Pink"",""Pink"",""Purple""],""first_choice"":""Toy trains"",""second_choice"":""Building sets""}",2024-11-07 00:00:00.000
195,134,"{""colors"":[""Pink"",""Red"",""Orange"",""Green""],""first_choice"":""Teddy bears"",""second_choice"":""Stuffed animals""}",2024-11-05 00:00:00.000
196,351,"{""colors"":[""Pink""],""first_choice"":""Toy trucks"",""second_choice"":""Building sets""}",2024-08-05 00:00:00.000
197,409,"{""colors"":[""Pink""],""first_choice"":""Barbie dolls"",""second_choice"":""Stuffed animals""}",2024-11-13 00:00:00.000
198,601,"{""colors"":[""White"",""Red"",""Yellow"",""White"",""Black""],""first_choice"":""Hula hoops"",""second_choice"":""Jump ropes""}",2024-02-24 00:00:00.000
199,529,"{""colors"":[""Red"",""Purple"",""Yellow"",""Pink"",""Purple""],""first_choice"":""Building blocks"",""second_choice"":""Building blocks""}",2024-08-11 00:00:00.000
200,882,"{""colors"":[""Pink"",""Pink"",""Black"",""Brown""],""first_choice"":""Toy musical instruments"",""second_choice"":""Dollhouses""}",2024-12-09 00:00:00.000
201,421,"{""colors"":[""Green""],""first_choice"":""Teddy bears"",""second_choice"":""Building sets""}",2024-09-25 00:00:00.000
202,384,"{""colors"":[""Brown""],""first_choice"":""Building sets"",""second_choice"":""Rubiks cubes""}",2024-11-21 00:00:00.000
203,846,"{""colors"":[""Orange""],""first_choice"":""Yo-yos"",""second_choice"":""Hula hoops""}",2024-10-03 00:00:00.000
204,808,"{""colors"":[""Purple"",""Blue"",""Red"",""Yellow""],""first_choice"":""Toy trucks"",""second_choice"":""Action figures""}",2024-06-21 00:00:00.000
205,310,"{""colors"":[""Orange"",""Red""],""first_choice"":""Hula hoops"",""second_choice"":""Rubiks cubes""}",2024-10-20 00:00:00.000
206,177,"{""colors"":[""Purple""],""first_choice"":""Yo-yos"",""second_choice"":""Stuffed animals""}",2024-08-22 00:00:00.000
207,83,"{""colors"":[""Pink"",""Green"",""Pink"",""Blue"",""Pink""],""first_choice"":""Action figures"",""second_choice"":""Dollhouses""}",2024-11-08 00:00:00.000
208,72,"{""colors"":[""Purple"",""Red"",""Brown"",""Brown"",""Blue""],""first_choice"":""Toy trucks"",""second_choice"":""Toy trucks""}",2024-07-04 00:00:00.000
209,905,"{""colors"":[""Red"",""Orange"",""Yellow"",""White"",""Blue""],""first_choice"":""LEGO blocks"",""second_choice"":""Building blocks""}",2024-12-03 00:00:00.000
210,290,"{""colors"":[""Orange""],""first_choice"":""Toy trucks"",""second_choice"":""Building sets""}",2024-03-15 00:00:00.000
211,428,"{""colors"":[""Purple"",""Purple"",""Pink"",""Pink""],""first_choice"":""Toy trucks"",""second_choice"":""Action figures""}",2024-03-17 00:00:00.000
212,752,"{""colors"":[""Brown"",""Red"",""White"",""Yellow"",""Purple""],""first_choice"":""Toy kitchen sets"",""second_choice"":""LEGO blocks""}",2024-11-08 00:00:00.000
213,622,"{""colors"":[""Blue"",""Pink"",""Red"",""White""],""first_choice"":""Barbie dolls"",""second_choice"":""Rubiks cubes""}",2024-10-19 00:00:00.000
214,703,"{""colors"":[""Red""],""first_choice"":""Dollhouses"",""second_choice"":""Rubiks cubes""}",2024-08-09 00:00:00.000
215,637,"{""colors"":[""White"",""Green"",""Orange"",""Black"",""White""],""first_choice"":""Toy kitchen sets"",""second_choice"":""Yo-yos""}",2024-05-12 00:00:00.000
216,208,"{""colors"":[""Blue"",""Pink"",""Green"",""Green""],""first_choice"":""Barbie dolls"",""second_choice"":""Jump ropes""}",2024-11-15 00:00:00.000
217,953,"{""colors"":[""Blue"",""Red"",""White"",""Green""],""first_choice"":""Toy kitchen sets"",""second_choice"":""Toy trucks""}",2024-04-12 00:00:00.000
218,574,"{""colors"":[""Brown"",""Yellow"",""White""],""first_choice"":""Play-Doh"",""second_choice"":""Play-Doh""}",2024-05-12 00:00:00.000
219,663,"{""colors"":[""White"",""Red"",""Red""],""first_choice"":""Toy trucks"",""second_choice"":""Play-Doh""}",2024-08-15 00:00:00.000
220,465,"{""colors"":[""Black"",""Red"",""Purple""],""first_choice"":""Yo-yos"",""second_choice"":""Toy trucks""}",2024-09-11 00:00:00.000
221,923,"{""colors"":[""Red"",""Blue""],""first_choice"":""LEGO blocks"",""second_choice"":""Toy trains""}",2024-06-07 00:00:00.000
222,291,"{""colors"":[""Purple"",""Orange"",""Red"",""Black""],""first_choice"":""Building sets"",""second_choice"":""Action figures""}",2024-05-30 00:00:00.000
223,907,"{""colors"":[""Pink"",""White"",""Orange"",""Orange"",""Orange""],""first_choice"":""Dollhouses"",""second_choice"":""Jigsaw puzzles""}",2024-11-12 00:00:00.000
224,188,"{""colors"":[""Red""],""first_choice"":""Rubiks cubes"",""second_choice"":""Rubiks cubes""}",2024-01-19 00:00:00.000
225,730,"{""colors"":[""Yellow"",""Yellow"",""Red""],""first_choice"":""Yo-yos"",""second_choice"":""Toy musical instruments""}",2024-02-28 00:00:00.000
226,863,"{""colors"":[""Blue""],""first_choice"":""Hula hoops"",""second_choice"":""Jigsaw puzzles""}",2024-11-26 00:00:00.000
227,263,"{""colors"":[""White"",""White"",""Brown"",""Yellow"",""Brown""],""first_choice"":""Teddy bears"",""second_choice"":""Hula hoops""}",2024-03-09 00:00:00.000
228,984,"{""colors"":[""Pink"",""Pink"",""Blue""],""first_choice"":""LEGO blocks"",""second_choice"":""Jump ropes""}",2024-01-30 00:00:00.000
229,919,"{""colors"":[""Pink"",""Black"",""Purple"",""Green""],""first_choice"":""Rubiks cubes"",""second_choice"":""Jigsaw puzzles""}",2024-06-07 00:00:00.000
230,473,"{""colors"":[""Brown"",""White""],""first_choice"":""Barbie dolls"",""second_choice"":""Yo-yos""}",2024-09-04 00:00:00.000
231,299,"{""colors"":[""Orange"",""Brown"",""White"",""Purple""],""first_choice"":""Dollhouses"",""second_choice"":""Play-Doh""}",2024-06-16 00:00:00.000
232,183,"{""colors"":[""Orange"",""Purple"",""Purple"",""Purple"",""Orange""],""first_choice"":""LEGO blocks"",""second_choice"":""Barbie dolls""}",2024-10-08 00:00:00.000
233,511,"{""colors"":[""Green"",""Red""],""first_choice"":""Toy kitchen sets"",""second_choice"":""LEGO blocks""}",2024-11-29 00:00:00.000
234,534,"{""colors"":[""Yellow""],""first_choice"":""Jump ropes"",""second_choice"":""Action figures""}",2024-09-07 00:00:00.000
235,321,"{""colors"":[""Brown"",""Green"",""Green""],""first_choice"":""Toy kitchen sets"",""second_choice"":""Building blocks""}",2024-10-02 00:00:00.000
236,822,"{""colors"":[""Orange"",""Yellow"",""Brown"",""Blue"",""Orange""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Toy trucks""}",2024-05-01 00:00:00.000
237,355,"{""colors"":[""Green"",""Blue""],""first_choice"":""Toy kitchen sets"",""second_choice"":""Toy musical instruments""}",2024-09-22 00:00:00.000
238,27,"{""colors"":[""White""],""first_choice"":""Building sets"",""second_choice"":""Teddy bears""}",2024-04-17 00:00:00.000
239,845,"{""colors"":[""Red"",""Yellow""],""first_choice"":""Rubiks cubes"",""second_choice"":""LEGO blocks""}",2024-02-13 00:00:00.000
240,284,"{""colors"":[""Yellow"",""Yellow"",""Yellow""],""first_choice"":""Toy trains"",""second_choice"":""Jigsaw puzzles""}",2024-05-29 00:00:00.000
241,872,"{""colors"":[""Brown""],""first_choice"":""Barbie dolls"",""second_choice"":""Yo-yos""}",2024-02-05 00:00:00.000
242,371,"{""colors"":[""Red""],""first_choice"":""Board games"",""second_choice"":""Toy trucks""}",2024-04-06 00:00:00.000
243,950,"{""colors"":[""Orange"",""Red"",""Blue"",""Orange""],""first_choice"":""Board games"",""second_choice"":""Rubiks cubes""}",2024-02-01 00:00:00.000
244,63,"{""colors"":[""White"",""Red"",""Blue"",""Purple"",""Red""],""first_choice"":""Toy trains"",""second_choice"":""Toy musical instruments""}",2024-10-20 00:00:00.000
245,883,"{""colors"":[""Brown"",""Blue"",""Green"",""Purple"",""Orange""],""first_choice"":""Dollhouses"",""second_choice"":""Jigsaw puzzles""}",2024-07-23 00:00:00.000
246,788,"{""colors"":[""Red"",""Yellow"",""Orange""],""first_choice"":""Yo-yos"",""second_choice"":""Jigsaw puzzles""}",2024-04-21 00:00:00.000
247,623,"{""colors"":[""Brown"",""Orange"",""Blue"",""Pink""],""first_choice"":""Board games"",""second_choice"":""Toy trains""}",2024-02-16 00:00:00.000
248,677,"{""colors"":[""Brown"",""Blue"",""White""],""first_choice"":""Remote control cars"",""second_choice"":""Toy trucks""}",2024-08-13 00:00:00.000
249,63,"{""colors"":[""Brown"",""Black""],""first_choice"":""LEGO blocks"",""second_choice"":""Jump ropes""}",2024-11-10 00:00:00.000
250,544,"{""colors"":[""White"",""Blue"",""Red""],""first_choice"":""Jump ropes"",""second_choice"":""Rubiks cubes""}",2024-01-09 00:00:00.000
251,334,"{""colors"":[""Green"",""Brown"",""Green""],""first_choice"":""Remote control cars"",""second_choice"":""Teddy bears""}",2024-10-13 00:00:00.000
252,114,"{""colors"":[""Brown""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Yo-yos""}",2024-10-02 00:00:00.000
253,95,"{""colors"":[""White"",""White"",""Orange"",""Brown""],""first_choice"":""Teddy bears"",""second_choice"":""Building sets""}",2024-11-22 00:00:00.000
254,526,"{""colors"":[""Red"",""Pink"",""Pink"",""White"",""Blue""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Toy musical instruments""}",2024-03-23 00:00:00.000
255,225,"{""colors"":[""Green"",""Pink"",""Green"",""Red"",""Red""],""first_choice"":""Dollhouses"",""second_choice"":""Teddy bears""}",2024-08-05 00:00:00.000
256,271,"{""colors"":[""Green"",""Blue"",""Blue"",""Blue""],""first_choice"":""Rubiks cubes"",""second_choice"":""Building sets""}",2024-11-25 00:00:00.000
257,441,"{""colors"":[""Red"",""Brown"",""Pink"",""Green"",""Yellow""],""first_choice"":""Stuffed animals"",""second_choice"":""Board games""}",2024-02-23 00:00:00.000
258,815,"{""colors"":[""Green"",""Green"",""Orange"",""Black""],""first_choice"":""Toy trains"",""second_choice"":""Rubiks cubes""}",2024-11-21 00:00:00.000
259,884,"{""colors"":[""Green"",""Black"",""Yellow"",""Yellow"",""Pink""],""first_choice"":""Toy musical instruments"",""second_choice"":""Board games""}",2024-03-27 00:00:00.000
260,687,"{""colors"":[""Red""],""first_choice"":""Building blocks"",""second_choice"":""Building sets""}",2024-11-07 00:00:00.000
261,278,"{""colors"":[""Red""],""first_choice"":""Jump ropes"",""second_choice"":""Barbie dolls""}",2024-05-28 00:00:00.000
262,426,"{""colors"":[""Purple"",""Black"",""Green"",""Green"",""Yellow""],""first_choice"":""Hula hoops"",""second_choice"":""LEGO blocks""}",2024-08-18 00:00:00.000
263,643,"{""colors"":[""White"",""Orange""],""first_choice"":""Stuffed animals"",""second_choice"":""Toy kitchen sets""}",2024-05-07 00:00:00.000
264,43,"{""colors"":[""White"",""Pink"",""Brown"",""Brown"",""Black""],""first_choice"":""Building sets"",""second_choice"":""Building sets""}",2024-01-08 00:00:00.000
265,600,"{""colors"":[""Brown"",""Brown""],""first_choice"":""Hula hoops"",""second_choice"":""Jigsaw puzzles""}",2024-02-17 00:00:00.000
266,829,"{""colors"":[""Red"",""Blue"",""Brown""],""first_choice"":""Toy trucks"",""second_choice"":""Toy musical instruments""}",2024-04-01 00:00:00.000
267,491,"{""colors"":[""Black""],""first_choice"":""Building blocks"",""second_choice"":""Action figures""}",2024-02-17 00:00:00.000
268,774,"{""colors"":[""Blue"",""Brown""],""first_choice"":""Toy musical instruments"",""second_choice"":""Action figures""}",2024-09-03 00:00:00.000
269,293,"{""colors"":[""Green"",""Orange""],""first_choice"":""Building sets"",""second_choice"":""Dollhouses""}",2024-01-23 00:00:00.000
270,986,"{""colors"":[""Brown"",""Blue"",""Yellow"",""Pink""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Board games""}",2024-05-17 00:00:00.000
271,374,"{""colors"":[""Orange"",""Blue"",""Pink""],""first_choice"":""Building sets"",""second_choice"":""Teddy bears""}",2024-02-11 00:00:00.000
272,819,"{""colors"":[""Pink"",""Brown"",""Yellow"",""Green"",""White""],""first_choice"":""Toy musical instruments"",""second_choice"":""Building blocks""}",2024-06-16 00:00:00.000
273,153,"{""colors"":[""Black"",""Purple"",""Purple"",""Purple""],""first_choice"":""Toy kitchen sets"",""second_choice"":""Hula hoops""}",2024-09-16 00:00:00.000
274,162,"{""colors"":[""Blue"",""Brown"",""Purple""],""first_choice"":""Toy trains"",""second_choice"":""Rubiks cubes""}",2024-11-05 00:00:00.000
275,996,"{""colors"":[""Pink"",""Pink"",""Purple""],""first_choice"":""Toy trains"",""second_choice"":""LEGO blocks""}",2024-07-07 00:00:00.000
276,943,"{""colors"":[""Purple"",""Orange""],""first_choice"":""Remote control cars"",""second_choice"":""Play-Doh""}",2024-01-02 00:00:00.000
277,154,"{""colors"":[""Red"",""Brown"",""Blue""],""first_choice"":""Action figures"",""second_choice"":""Play-Doh""}",2024-03-20 00:00:00.000
278,873,"{""colors"":[""Blue"",""Black"",""Black"",""Pink""],""first_choice"":""LEGO blocks"",""second_choice"":""Barbie dolls""}",2024-06-18 00:00:00.000
279,908,"{""colors"":[""Purple"",""Purple"",""Brown"",""Pink""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Building sets""}",2024-06-20 00:00:00.000
280,931,"{""colors"":[""Black"",""Brown"",""Purple"",""Yellow"",""Green""],""first_choice"":""Toy trains"",""second_choice"":""Action figures""}",2024-08-03 00:00:00.000
281,658,"{""colors"":[""Green"",""Blue""],""first_choice"":""Barbie dolls"",""second_choice"":""Toy kitchen sets""}",2024-04-01 00:00:00.000
282,2,"{""colors"":[""White"",""Black"",""Green""],""first_choice"":""Toy musical instruments"",""second_choice"":""Building sets""}",2024-10-16 00:00:00.000
283,838,"{""colors"":[""Blue"",""Green"",""Green"",""Brown""],""first_choice"":""Building blocks"",""second_choice"":""Play-Doh""}",2024-01-03 00:00:00.000
284,619,"{""colors"":[""Blue"",""Green""],""first_choice"":""Hula hoops"",""second_choice"":""Action figures""}",2024-06-19 00:00:00.000
285,717,"{""colors"":[""White"",""Orange"",""Yellow"",""Pink"",""Black""],""first_choice"":""Dollhouses"",""second_choice"":""Rubiks cubes""}",2024-01-01 00:00:00.000
286,196,"{""colors"":[""Pink"",""Blue"",""Brown""],""first_choice"":""Yo-yos"",""second_choice"":""Building blocks""}",2024-02-22 00:00:00.000
287,81,"{""colors"":[""Pink"",""Pink"",""Blue"",""Orange""],""first_choice"":""Dollhouses"",""second_choice"":""Yo-yos""}",2024-07-05 00:00:00.000
288,896,"{""colors"":[""Green"",""Black""],""first_choice"":""Jump ropes"",""second_choice"":""Hula hoops""}",2024-04-10 00:00:00.000
289,489,"{""colors"":[""Red""],""first_choice"":""Play-Doh"",""second_choice"":""Toy trucks""}",2024-06-28 00:00:00.000
290,507,"{""colors"":[""Orange"",""White"",""Yellow""],""first_choice"":""Action figures"",""second_choice"":""LEGO blocks""}",2024-06-08 00:00:00.000
291,909,"{""colors"":[""Green"",""Black"",""Black"",""Pink""],""first_choice"":""Play-Doh"",""second_choice"":""Toy trucks""}",2024-05-17 00:00:00.000
292,191,"{""colors"":[""Black"",""Brown""],""first_choice"":""Remote control cars"",""second_choice"":""Building blocks""}",2024-01-15 00:00:00.000
293,708,"{""colors"":[""Green"",""Brown"",""Blue"",""Blue""],""first_choice"":""Play-Doh"",""second_choice"":""Rubiks cubes""}",2024-08-20 00:00:00.000
294,207,"{""colors"":[""Pink""],""first_choice"":""Yo-yos"",""second_choice"":""Toy trucks""}",2024-07-05 00:00:00.000
295,678,"{""colors"":[""Brown"",""Green"",""Green"",""Yellow""],""first_choice"":""Rubiks cubes"",""second_choice"":""Stuffed animals""}",2024-11-01 00:00:00.000
296,276,"{""colors"":[""Orange"",""Brown"",""Brown""],""first_choice"":""Play-Doh"",""second_choice"":""Play-Doh""}",2024-01-21 00:00:00.000
297,201,"{""colors"":[""Pink"",""Green"",""Blue""],""first_choice"":""Hula hoops"",""second_choice"":""Rubiks cubes""}",2024-05-15 00:00:00.000
298,490,"{""colors"":[""Yellow"",""Green"",""Brown"",""Brown"",""Orange""],""first_choice"":""Yo-yos"",""second_choice"":""Barbie dolls""}",2024-01-13 00:00:00.000
299,102,"{""colors"":[""Red"",""White"",""Pink""],""first_choice"":""Building blocks"",""second_choice"":""Action figures""}",2024-11-30 00:00:00.000
300,145,"{""colors"":[""Green""],""first_choice"":""Stuffed animals"",""second_choice"":""Rubiks cubes""}",2024-04-16 00:00:00.000
301,588,"{""colors"":[""Red"",""Pink"",""Pink"",""Brown"",""Purple""],""first_choice"":""Stuffed animals"",""second_choice"":""Toy musical instruments""}",2024-11-21 00:00:00.000
302,138,"{""colors"":[""Purple"",""Yellow"",""Black""],""first_choice"":""Jump ropes"",""second_choice"":""Jigsaw puzzles""}",2024-03-24 00:00:00.000
303,467,"{""colors"":[""Blue"",""Brown"",""Black"",""Blue"",""Black""],""first_choice"":""Board games"",""second_choice"":""Rubiks cubes""}",2024-03-21 00:00:00.000
304,43,"{""colors"":[""Red""],""first_choice"":""Stuffed animals"",""second_choice"":""LEGO blocks""}",2024-11-09 00:00:00.000
305,46,"{""colors"":[""Green"",""Pink""],""first_choice"":""Hula hoops"",""second_choice"":""Play-Doh""}",2024-12-14 00:00:00.000
306,817,"{""colors"":[""Blue""],""first_choice"":""Building sets"",""second_choice"":""Toy musical instruments""}",2024-08-15 00:00:00.000
307,446,"{""colors"":[""White"",""Red"",""Purple""],""first_choice"":""Jump ropes"",""second_choice"":""Hula hoops""}",2024-04-10 00:00:00.000
308,174,"{""colors"":[""Pink"",""Brown"",""Black""],""first_choice"":""Play-Doh"",""second_choice"":""Play-Doh""}",2024-01-31 00:00:00.000
309,353,"{""colors"":[""Blue"",""Yellow""],""first_choice"":""Toy kitchen sets"",""second_choice"":""Stuffed animals""}",2024-04-24 00:00:00.000
310,156,"{""colors"":[""Pink"",""White"",""Green""],""first_choice"":""Board games"",""second_choice"":""Stuffed animals""}",2024-10-12 00:00:00.000
311,383,"{""colors"":[""Blue"",""Green""],""first_choice"":""Stuffed animals"",""second_choice"":""Hula hoops""}",2024-06-27 00:00:00.000
312,618,"{""colors"":[""Black"",""Purple"",""Black""],""first_choice"":""Toy musical instruments"",""second_choice"":""Building sets""}",2024-07-01 00:00:00.000
313,16,"{""colors"":[""Blue"",""Black"",""Red""],""first_choice"":""Toy musical instruments"",""second_choice"":""Jigsaw puzzles""}",2024-11-06 00:00:00.000
314,834,"{""colors"":[""Purple"",""Red"",""Purple"",""Orange"",""Yellow""],""first_choice"":""Toy kitchen sets"",""second_choice"":""LEGO blocks""}",2024-04-02 00:00:00.000
315,330,"{""colors"":[""Red"",""Brown""],""first_choice"":""Teddy bears"",""second_choice"":""Building sets""}",2024-01-08 00:00:00.000
316,548,"{""colors"":[""Pink"",""Brown"",""Brown"",""Black""],""first_choice"":""Teddy bears"",""second_choice"":""Jigsaw puzzles""}",2024-07-24 00:00:00.000
317,895,"{""colors"":[""Brown"",""Purple"",""Orange"",""Black""],""first_choice"":""Toy trains"",""second_choice"":""Toy trains""}",2024-12-01 00:00:00.000
318,408,"{""colors"":[""Blue"",""Red"",""Brown"",""Red""],""first_choice"":""Stuffed animals"",""second_choice"":""Jump ropes""}",2024-09-12 00:00:00.000
319,749,"{""colors"":[""Purple"",""Blue"",""Black""],""first_choice"":""LEGO blocks"",""second_choice"":""Building sets""}",2024-07-15 00:00:00.000
320,677,"{""colors"":[""Purple"",""Brown"",""Green"",""Orange""],""first_choice"":""Jump ropes"",""second_choice"":""Play-Doh""}",2024-01-14 00:00:00.000
321,424,"{""colors"":[""White"",""White""],""first_choice"":""Toy trains"",""second_choice"":""Play-Doh""}",2024-12-03 00:00:00.000
322,216,"{""colors"":[""Green"",""Orange"",""Orange"",""Brown"",""White""],""first_choice"":""Barbie dolls"",""second_choice"":""Jump ropes""}",2024-12-17 00:00:00.000
323,82,"{""colors"":[""Blue"",""Red"",""Green"",""Blue"",""Purple""],""first_choice"":""Action figures"",""second_choice"":""Hula hoops""}",2024-07-04 00:00:00.000
324,242,"{""colors"":[""Purple"",""Orange""],""first_choice"":""Toy trains"",""second_choice"":""Building sets""}",2024-04-10 00:00:00.000
325,771,"{""colors"":[""Black"",""Purple"",""Black"",""Black""],""first_choice"":""Building sets"",""second_choice"":""Board games""}",2024-08-01 00:00:00.000
326,885,"{""colors"":[""White""],""first_choice"":""Toy trucks"",""second_choice"":""Yo-yos""}",2024-07-20 00:00:00.000
327,619,"{""colors"":[""Red""],""first_choice"":""Yo-yos"",""second_choice"":""Barbie dolls""}",2024-10-31 00:00:00.000
328,192,"{""colors"":[""Black"",""Black"",""Black""],""first_choice"":""Teddy bears"",""second_choice"":""Jump ropes""}",2024-06-08 00:00:00.000
329,74,"{""colors"":[""Orange"",""Yellow"",""Pink"",""Green"",""Pink""],""first_choice"":""Play-Doh"",""second_choice"":""Jigsaw puzzles""}",2024-08-08 00:00:00.000
330,734,"{""colors"":[""Blue"",""Blue""],""first_choice"":""Rubiks cubes"",""second_choice"":""Toy musical instruments""}",2024-11-18 00:00:00.000
331,540,"{""colors"":[""Green"",""Pink""],""first_choice"":""Teddy bears"",""second_choice"":""Teddy bears""}",2024-10-10 00:00:00.000
332,457,"{""colors"":[""Purple"",""Yellow""],""first_choice"":""Toy trucks"",""second_choice"":""Teddy bears""}",2024-01-30 00:00:00.000
333,426,"{""colors"":[""Brown"",""Brown""],""first_choice"":""Rubiks cubes"",""second_choice"":""Action figures""}",2024-07-04 00:00:00.000
334,892,"{""colors"":[""Yellow"",""Yellow"",""Yellow"",""Red"",""Red""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Toy musical instruments""}",2024-07-13 00:00:00.000
335,798,"{""colors"":[""White"",""Red""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Toy musical instruments""}",2024-08-08 00:00:00.000
336,902,"{""colors"":[""Pink""],""first_choice"":""Teddy bears"",""second_choice"":""Jump ropes""}",2024-06-20 00:00:00.000
337,388,"{""colors"":[""Green"",""Green""],""first_choice"":""Building sets"",""second_choice"":""Action figures""}",2024-05-01 00:00:00.000
338,409,"{""colors"":[""Purple""],""first_choice"":""Play-Doh"",""second_choice"":""Toy trucks""}",2024-11-19 00:00:00.000
339,781,"{""colors"":[""Black"",""White""],""first_choice"":""Toy trucks"",""second_choice"":""Yo-yos""}",2024-07-21 00:00:00.000
340,319,"{""colors"":[""Green"",""Purple""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Jigsaw puzzles""}",2024-08-31 00:00:00.000
341,236,"{""colors"":[""Yellow"",""Yellow"",""Blue"",""Blue"",""Brown""],""first_choice"":""LEGO blocks"",""second_choice"":""Building sets""}",2024-12-02 00:00:00.000
342,817,"{""colors"":[""Red"",""Orange""],""first_choice"":""Rubiks cubes"",""second_choice"":""Hula hoops""}",2024-08-15 00:00:00.000
343,261,"{""colors"":[""Blue""],""first_choice"":""Building sets"",""second_choice"":""LEGO blocks""}",2024-07-14 00:00:00.000
344,951,"{""colors"":[""Brown"",""Green"",""White"",""Pink"",""Pink""],""first_choice"":""Teddy bears"",""second_choice"":""Jigsaw puzzles""}",2024-10-21 00:00:00.000
345,654,"{""colors"":[""Pink"",""Yellow""],""first_choice"":""Play-Doh"",""second_choice"":""Toy trains""}",2024-07-07 00:00:00.000
346,563,"{""colors"":[""Orange"",""Orange"",""Pink"",""Brown"",""Red""],""first_choice"":""Toy musical instruments"",""second_choice"":""Teddy bears""}",2024-03-27 00:00:00.000
347,711,"{""colors"":[""Brown"",""Blue"",""Blue"",""Black"",""Yellow""],""first_choice"":""Board games"",""second_choice"":""LEGO blocks""}",2024-03-01 00:00:00.000
348,296,"{""colors"":[""Blue"",""Green"",""Green"",""Red"",""Green""],""first_choice"":""LEGO blocks"",""second_choice"":""Building sets""}",2024-08-07 00:00:00.000
349,196,"{""colors"":[""Yellow"",""White""],""first_choice"":""Barbie dolls"",""second_choice"":""Play-Doh""}",2024-04-16 00:00:00.000
350,145,"{""colors"":[""Black"",""Yellow"",""Black""],""first_choice"":""Action figures"",""second_choice"":""Rubiks cubes""}",2024-12-13 00:00:00.000
351,488,"{""colors"":[""Orange"",""Green""],""first_choice"":""Toy trains"",""second_choice"":""Action figures""}",2024-04-03 00:00:00.000
352,251,"{""colors"":[""White"",""White"",""Red""],""first_choice"":""Yo-yos"",""second_choice"":""Play-Doh""}",2024-10-01 00:00:00.000
353,912,"{""colors"":[""Blue"",""White"",""Purple"",""Red"",""Purple""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Action figures""}",2024-06-15 00:00:00.000
354,807,"{""colors"":[""Blue"",""Red"",""Yellow""],""first_choice"":""Barbie dolls"",""second_choice"":""Toy kitchen sets""}",2024-09-02 00:00:00.000
355,552,"{""colors"":[""Purple"",""Black""],""first_choice"":""Toy trains"",""second_choice"":""Stuffed animals""}",2024-03-28 00:00:00.000
356,250,"{""colors"":[""Pink"",""Pink"",""Yellow"",""Red"",""White""],""first_choice"":""Toy trucks"",""second_choice"":""Barbie dolls""}",2024-06-18 00:00:00.000
357,399,"{""colors"":[""Brown""],""first_choice"":""Remote control cars"",""second_choice"":""Hula hoops""}",2024-03-02 00:00:00.000
358,780,"{""colors"":[""Pink"",""Orange""],""first_choice"":""Barbie dolls"",""second_choice"":""Rubiks cubes""}",2024-08-22 00:00:00.000
359,184,"{""colors"":[""Pink""],""first_choice"":""Rubiks cubes"",""second_choice"":""Toy musical instruments""}",2024-01-04 00:00:00.000
360,137,"{""colors"":[""Green"",""Purple"",""Purple""],""first_choice"":""Toy kitchen sets"",""second_choice"":""Rubiks cubes""}",2024-12-19 00:00:00.000
